track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Rake It Up,Rake It Up,Yo Gotti,6/23/2017,USSM11705366,3924,21,365789171,58,347981506,75103695,8,51,336119724,1720331,3844287,1
Walk,Walk/Spin,Kodak Black,9/16/2022,USAT22214755,3903,21,62323136,54,34075392,25342217,2750,544,3561732,10571345,288137,1
Animals,Animals - Single,Martin Garrix,1/1/2013,NLZ541300467,3957,21,413855724,61,62878984,170836810,8044,375,164294520,74446604,17865575,1
Let The Light In (feat. Father John Misty),Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,3/10/2023,GBUM72206754,3932,21,240686521,75,21619,349168412,2028,22,912274,149385,632580,0
Show Me How,Show Me How - Single,Men I Trust,2/28/2018,TCADM1873570,3965,21,466462034,20,91890599,1503260547,1227,102,2932987,15339480,989841,0
Joro,Joro,Wizkid,9/30/2019,USRC11901068,4005,21,117819788,59,312077132,1866473503,5324,1,4356329,5341193,3178427,0
Colors,Colors,Black Pumas,4/16/2019,USATO1900023,4014,21,215492373,67,291742629,64559724,48571,231,18305762,931340,2951859,0
Flowers,Flowers,Lauren Spencer Smith,4/14/2022,USUG12202201,4000,21,260183209,65,64169463,295540554,15877,62,12043516,5221070,626257,1
7 Summers,7 Summers,Morgan Wallen,8/14/2020,QZ22S1800133,4038,21,433429705,73,108280492,273205308,44492,14,77905510,5301405,667963,0
You're Somebody Else,Nothing Lasts Forever (And It's Fine),flora cash,4/21/2017,SEXCG1700102,4025,21,473059298,62,302782709,793624604,50039,59,71313267,9351732,4844008,0
Pelle Coat,Pelle Coat,Lil Durk,5/25/2023,USQX92303167,4055,21,25898720,50,21808363,16324229,413,4,2593246,7153821,317600,1
King's Dead (with Kendrick Lamar & Future),King''s Dead (with Kendrick Lamar & Future),Jay Rock,1/12/2018,USUM71714093,4081,21,597167984,65,229946161,1101118641,2107,38,85519386,2310759,2571189,1
Alone,Alone,Rod Wave,8/9/2022,USQX92203746,4098,21,64562541,55,63051891,38123007,1310,181,20018298,14854093,262393,1
Only Girl (In The World),Loud (Japan Version),Rihanna,1/1/2010,USUM71023200,4090,21,1085436198,78,162454294,1513290,227403,212,507023502,1394635,6724803,0
Hit Different,Hit Different,SZA,9/4/2020,USRC12002998,4097,21,254979267,63,234785367,76024269,46258,19,64371686,1578488,961364,1
Energy,Energy,Digga D,3/9/2023,GB2DY2300114,4113,21,43078993,52,10699230,306310318,3645,103,28410,4102693,128246,1
What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,1/17/2020,USUG11904422,4104,21,505295731,64,151335556,48126470,211790,222,51486501,208843,2572578,0
No Switch,Colors (Deluxe),YoungBoy Never Broke Again,1/21/2022,USAT22200200,4119,20,53849840,60,60416082,40727724,528,4,2506210,20423284,354115,1
Yankee 150,Yankee 150 - Single,Yandel,6/16/2023,QM6P42372371,4189,20,126879048,63,26943448,389534,9665,5,21058757,525588,199309,1
Fuga Pa Cali 2,La Clase,Grupo Los de la O,11/12/2021,QZMFV2000234,4182,20,274559147,66,225016104,98720581,11,4,10537539,2239350,592764,1
Cruise,Here's To The Good Times,Florida Georgia Line,1/1/2012,USUM71207991,4210,20,455780340,67,2801769,11785941,138702,281,601741070,1839356,2690275,0
