track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Lonely At The Top,Work Of Art,Asake,6/15/2023,USUYG1490059,947,49.4,"84,655,991",69.0,"75,076,449","382,487,197","11,861",89,"779,288","1,367,844","2,361,169",0
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,3/16/2017,GBAHS1700199,954,49.3,"1,456,894,713",71.0,"1,523,128,022","386,013,926","84,752",17,"76,856,978","18,687,841","9,434,537",0
Secreto,Secreto,Anuel AA,1/15/2019,USXDR1900020,957,49.2,"759,388,276",65.0,"1,595,484,197","543,804,719",159,15,"147,935,567","3,064,688","1,317,266",0
I Hate U,I Hate U - Single,SZA,12/3/2021,USRC12103605,956,49.2,"456,871,037",66.0,"142,820,854","1,676,387,442","136,784","1,324","92,133,806","15,212,609","1,854,776",1
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2/1/2019,DEUM71807719,966,49.2,"995,452,298",65.0,"464,369,299","1,282,810,923","171,176",196,"46,973,428","26,135,531","14,464,887",0
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,QZHN72212529,973,49.0,"582,023,797",70.0,"293,059,162","805,988,782","18,750",222,"84,722,896","192,143","1,946,266",0
Your Love (9PM),Your Love (9PM),ATB,1/15/2021,DECE72003523,976,48.9,"721,002,104",71.0,"118,729,044","81,735,548","361,427",220,"24,235,804","5,026,745","7,799,522",0
HEAT STICK,HEAT STICK,Shoreline Mafia,5/10/2024,USAT22402903,979,48.8,"20,538,101",74.0,"3,575,151","108,700",370,5,"1,637,484","1,415,426","75,399",1
Photograph,x (Wembley Edition),Ed Sheeran,1/1/2013,GBAHS1400094,980,48.8,"2,525,355,904",77.0,"1,884,843,329","4,406,781,129","89,818",80,"450,907,868","35,594,470","17,163,765",0
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,USVPR2100046,993,48.2,"218,431,985",61.0,"336,505,073","4,731,467,896","20,192",98,"12,362,903","2,388,111","6,024,636",0
